#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
6028795	6039079	-1.0	1
6039079	6049636	-1.0	1
6049636	6057333	-1.0	1
6057333	6071343	-1.0	1
6071343	6081823	-1.0	1
6081823	6092153	-1.0	1
6092153	6102974	-1.0	1
6102974	6117158	-1.0	1
6117158	6124833	-1.0	1
6124833	6140879	-1.0	1
6140879	6149560	-1.0	1
6149560	6162977	-1.0	1
6162977	6173809	-1.0	1
6173809	6179082	-1.0	1
6179082	6196686	-1.0	1
6196686	6215257	-1.0	1
6215257	6228180	1860.0	1
6228180	6235266	1862.4	1
6235266	6250961	1864.8	1
6250961	6261667	1866.2	1
6261667	6273460	1867.6	1
6273460	6279951	1876.0	1
6279951	6295161	1866.8	1
6295161	6303008	-1.0	1
6303008	6314709	-1.0	1
6314709	6332146	-1.0	1
6332146	6337170	-1.0	1
6337170	6347501	1929.8	1
6347501	6358179	1916.9	1
6358179	6369085	1866.8	1
6369085	6387451	1861.8	1
6387451	6390446	1890.8	1
6390446	6406082	1919.9	1
6406082	6416374	-1.0	1
6416374	6427686	-1.0	1
6427686	6443966	-1.0	1
6443966	6448365	-1.0	1
6448365	6459961	-1.0	1
6459961	6470518	-1.0	1
6470518	6480759	-1.0	1
6480759	6497918	-1.0	1
6497918	6508661	-1.0	1
6508661	6519796	-1.0	1
6519796	6530516	-1.0	1
6530516	6541011	-1.0	1
6541011	6551189	-1.0	1
6551189	6561604	-1.0	1
6561604	6573547	-1.0	1
6573547	6584831	-1.0	1
6584831	6592594	-1.0	1
6592594	6608648	-1.0	1
6608648	6614484	-1.0	1
6614484	6623725	-1.0	1
6623725	6639480	-1.0	1
6639480	6644278	-1.0	1
6644278	6663355	-1.0	1
6663355	6667945	-1.0	1
6667945	6676096	-1.0	1
6676096	6692040	-1.0	1
6692040	6697531	-1.0	1
6697531	6713287	-1.0	1
6713287	6723847	-1.0	1
6723847	6732797	1923.3	1
6732797	6745013	1868.0	1
6745013	6752277	1871.4	1
